TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,2016,96,41,47,-12,14,501.00000004800006,33,60
See You Leave,RJD2,2013,82,61,77,-6,50,299.000000016,4,49
Miss Primetime (feat. Pell),Big Gigantic,2016,137,93,59,-1,59,215.000000064,0,49
"Harder, Better, Faster, Stronger",Daft Punk,2001,123,72,82,-9,69,225.0,4,68
Crescendolls,Daft Punk,2001,124,75,70,-9,94,211.999999968,0,52
Nightvision,Daft Punk,2001,120,19,49,-30,46,103.99999999680001,85,50
Superheroes,Daft Punk,2001,141,74,62,-8,68,238.000000032,0,51
High Life,Daft Punk,2001,125,87,65,-9,52,202.000000032,0,50
Something About Us,Daft Punk,2001,100,48,88,-13,38,233.000000064,44,66
Voyager,Daft Punk,2001,120,74,67,-11,28,227.999999952,28,58
Veridis Quo,Daft Punk,2001,107,69,60,-14,12,344.999999952,48,59
Short Circuit,Daft Punk,2001,110,56,54,-11,22,206.99999999999997,0,48
Face to Face,Daft Punk,2001,118,44,87,-10,96,240.000000048,0,57
Too Long,Daft Punk,2001,127,58,69,-10,51,600.0000000480001,0,49
Scarface,Freddie Gibbs,2014,89,82,58,-6,63,126.99999999360001,2,46
Deeper,Freddie Gibbs,2014,180,79,39,-8,72,198.999999936,26,49
Broken (feat. Scarface),Freddie Gibbs,2014,85,63,60,-10,49,247.999999968,53,44
"Lay It All On Me (feat. Big Sean, Vic Mensa & Ed Sheeran) - Rudi VIP Mix",Rudimental,2015,123,72,82,-5,41,240.000000048,2,32
Love Yourz,J. Cole,2014,76,62,50,-9,40,211.999999968,61,67
Thinkin Bout You,Frank Ocean,2012,130,35,72,-11,18,200.999999952,41,71
Fertilizer,Frank Ocean,2012,116,59,71,-7,96,40.0000000032,85,52
Sweet Life,Frank Ocean,2012,84,59,53,-6,79,263.000000016,28,57
Not Just Money,Frank Ocean,2012,152,86,37,-16,11,60.0000000048,74,49
Super Rich Kids,Frank Ocean,2012,60,42,59,-8,61,305.00000006399995,27,64
Pilot Jones,Frank Ocean,2012,125,45,40,-13,37,184.000000032,48,55
