#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
101,ACID TRIP,Rejjie Snow,42872,99,56,72,-8,39,0.1305555556,4,46,7387
102,Hello,Rejjie Snow,43147,130,73,81,-8,82,0.09097222222,4,31,8644
103,Rainbows,Rejjie Snow,43147,162,72,58,-7,74,0.1395833333,1,29,7255
104,The Wonderful World of Annie,Rejjie Snow,43147,110,42,67,-15,58,0.04722222222,37,24,9903
105,23,Rejjie Snow,43147,97,64,80,-7,50,0.1263888889,28,52,9997
106,Pink Lemonade,Rejjie Snow,43147,90,38,88,-9,75,0.1118055556,19,38,2200
107,Skinny Jasmine Intermission,Rejjie Snow,43147,132,59,80,-10,61,0.05138888889,39,24,2468
108,Mon Amour,Rejjie Snow,43147,178,65,64,-6,67,0.1576388889,16,36,4812
109,Oh No!,Rejjie Snow,43147,132,54,76,-7,55,0.1180555556,50,37,9010
110,Spaceships,Rejjie Snow,43147,107,78,78,-7,63,0.1340277778,19,33,8065
111,Egyptian Luvr (feat. Aminé and Dana Williams),Rejjie Snow,43147,105,59,83,-8,90,0.1784722222,6,53,1080
112,The Ends,Rejjie Snow,43147,76,61,56,-8,82,0.08888888889,34,29,9163
113,Room 27,Rejjie Snow,43147,76,67,59,-8,36,0.1347222222,28,33,678
